job_link,job_skills
https://www.linkedin.com/jobs/view/floor-supervisor-at-crate-and-barrel-3686226145,"Distribution Center experience, Equipment certification, High School Diploma or GED, Warehouse Management System, Google applications, MS Word, Excel, Leadership skills, Team management skills, Attention to detail, Problemsolving skills, Written communication, Verbal communication, Time management, Organizational skills, Teamwork mentality, Bilingual (Spanish)"
https://au.linkedin.com/jobs/view/surveyor-at-persolkelly-3793971816,"Surveying, Data input, Mobile applications, Physical fitness, Maps, Navigation, Attention to detail, Floor plans"
https://www.linkedin.com/jobs/view/yard-warehouse-rep-i-at-us-lbm-3785599302,"Forklift Operation, Warehouse Organization, Inventory Management, Receiving and Shipping, Customer Service, Basic Math, Tape Measure Reading, Communication Skills, Conflict Resolution, Technology Proficiency, Standing and Walking, Lifting and Stooping"
https://www.linkedin.com/jobs/view/sales-consultant-at-marinemax-3796385559,"Sales, Customer Relationship Management, Product Knowledge, Sales Process, Data Entry, Sales Quoting, Financing, Customer Service, Event Management, Boat Shows, Seamanship, Online Training, Communication Skills"
https://www.linkedin.com/jobs/view/lead-toddler-teacher-at-guidepost-montessori-3807524493,"Lead Toddler Teacher, Montessori, Curriculum, Child development, Classroom management, Early childhood education, Nido, Toddler, Children's House, Elementary, Virtual school, Homeschooling, Infant and Toddler curriculum, Prepared Montessorian Institute, Bachelor's Degree"
https://www.linkedin.com/jobs/view/nurse-case-manager-east-bay-area-at-paradigm-3783996662,"Registered Nurse (RN) license, Case management, Workers' compensation, CCM CRRN CDMS CRC certifications, PC and technology skills, Communication skills, Autonomy, Patient education, Driver's license, Health insurance, Financial incentives, Paid time off, Training and development, Diverse and inclusive workplace, Equal Opportunity Employer"
https://uk.linkedin.com/jobs/view/sales-consultant-pt-20hr-at-watches-of-switzerland-group-plc-3736670954,"Sales, Client relations, Communication, Retail, Product knowledge, Teamwork, Problemsolving, Luxury goods"
https://www.linkedin.com/jobs/view/valuations-surveyor-at-clickjobs-io-3805100744,"Valuations, Commercial land, Property portfolio, Capital investment, Employment opportunities, Capital surpluses, Revenue surpluses"
https://uk.linkedin.com/jobs/view/specialist-anaesthesia-and-ventilator-engineer-in-city-of-london-uk-at-energy-jobline-3797719949,"Anaesthesia, Ventilator, Equipment Management, FieldBased Role"
https://www.linkedin.com/jobs/view/xfinity-retail-sales-consultant-at-xfinity-store-by-comcast-3801652845,"Customer Service, Product Demonstrations, Sales, Onboarding, Customer Experience, Problem Solving, Team Huddles, Digital Tools, Operating Principles, Net Promoter System, Diversity and Inclusion, High School Diploma / GED, 25 Years of Experience, Base Pay: $15.00, Commission, Benefits, Compensation, Bonuses"
https://www.linkedin.com/jobs/view/supervisor-block-plant-at-cemex-usa-3391856738,"Maintenance, Electrical troubleshooting, Production management, OSHA requirements, Communication, Human resources, Electrical and electronics, Materials engineering, Motivation, Construction, Welding, Cutting, Hydraulics, Pneumatics, Mix design, Material requirements, Continuous process operations, Field experience"
https://www.linkedin.com/jobs/view/rn-nicu-ft-nights-at-baton-rouge-general-medical-center-3803185230,"Neonatal Resuscitation Program (NRP), Louisiana RN licensure, Neonatal Intensive Care Nursing Certification, HIPAA compliance, Safety practices"
https://uk.linkedin.com/jobs/view/assistant-building-services-supervisor-previously-shift-supervisor-at-wmjobs-3803002708,"Management, Maintenance, Custodial, Handyperson, Cleaning, Building Services, Security, Operations, Teamwork, Communication, Problemsolving, English language"
https://www.linkedin.com/jobs/view/94d-air-traffic-control-equipment-repairer-at-jobsinlogistics-com-3806183615,"Electronic principles, Field maintenance, Sustainmentlevel maintenance, Equipment installation, Quality control, Air traffic control communications, Navigation aids, Landing systems, Electrical test equipment, Simulators, Basic soldering skills, Basic repair skills"
https://www.linkedin.com/jobs/view/sales-consultant-at-penske-automotive-group-3784988858,"Sales, Customer service, Communication, Teamwork, Work ethic, Commitment, Excellence, Growth Mindset, Initiative"
https://www.linkedin.com/jobs/view/deli-shift-manager-up-to-%2417-50-hour-at-pilot-flying-j-3798720975,"Food safety standards, Food service industry, Customer service skills, Teamwork, Communication skills, Flexible schedule, Fuel discount, Medical plan, Dental plan, Vision plan, 401(k), Flexible spending accounts, Adoption assistance, Tuition reimbursement"
https://uk.linkedin.com/jobs/view/learning-mentor-at-witherslack-group-3806824104,"Teaching Assistant Qualifications, Qualified Teacher Status, SEND, Ofsted, Classroom Experience, Therapies, DBS Check, Person Specification"
https://www.linkedin.com/jobs/view/litigation-attorney-at-jobot-3806136790,"Litigation, Real Estate, Trade Secrets, Massachusetts Bar Association, 3+ Years Litigation Experience, Sharp, Energetic, Personable"
https://www.linkedin.com/jobs/view/home-sales-consultant-at-cavco-industries-inc-3627150602,"Sales, Commission, Background Check, Drug Test, Medical, Dental, Vision, 401k, Family Leave"
https://www.linkedin.com/jobs/view/shift-manager-4068-at-five-guys-3786136726,"Food Safety, Customer Service, Team Leadership, Team Management, Inventory Management, Food Service Knowledge, Retail Experience, Supervisory Experience, Employee Motivation, Food Quality, Problem Solving, Communication, Decision Making, eVerify"
https://uk.linkedin.com/jobs/view/design-technical-manager-at-bennett-game-recruitment-limited-3793544023,"Design Management, Project Management, Solidworks 3D Modelling, Experience in Special Purpose Machinery, Experience in Mechanical Handling, Experience in Conveyor Systems, Experience in Waste Processing, Experience in Shredding Systems"
https://www.linkedin.com/jobs/view/commercial-real-estate-broker-at-sands-investment-group-3782029137,"Problem Solving, Negotiation, Teamwork, Commission, Real Estate, Investment, Net Lease, Retail, Office, Industrial"
https://www.linkedin.com/jobs/view/attorney-at-jobot-3806136467,"Litigation, Insurance Defense, Case Management, Trial Preparation, Court Appearances, Depositions, Mediations, Marketing, JD degree, Admitted to practice law in IL, 5+ years of litigation experience"
https://www.linkedin.com/jobs/view/scheduling-planning-manager-miami-at-damac-properties-3765629762,"People Management, Budgeting, Financial Planning, Policy Management, Process Management, Procedure Management, Project Planning, Risk Management, Continuous Improvement, Engineering Degree, Construction Experience, Project Management Experience"
https://ca.linkedin.com/jobs/view/assistant-department-manager-at-iga-extra-famille-pelletier-3805462494,"Customer service, Retail, Management, Feedback, Professional development, Collaboration, Inventory management, Price list management, Marketing, Salary productivity, Business readiness"
https://www.linkedin.com/jobs/view/general-manager-restaurant-%2B-bars-operations-at-makeready-3785009107,"Hospitality, Restaurant management, Communication skills, Leadership skills, Revenue generation, Customer service, Multitasking, Problem solving, Teamwork, Attention to detail, Initiative, Adaptability, Food and beverage knowledge, Event planning"
https://br.linkedin.com/jobs/view/lider-de-usinagem-at-imperial-recrutamento-e-sele%C3%A7%C3%A3o-3802435077,"Machining, Quality control, CNC programming, Drawing interpretation, Team leadership, People management, SPC, 8D, Microsoft Office, Shift work"
https://www.linkedin.com/jobs/view/senior-network-engineer-at-gavs-technologies-3798645246,"Computer Science, Information Technology, Healthcare, CCNP, JNCIP, Network Engineer, Network Design, Troubleshooting, Routing, Switching, Network Security, Load Balancing, Cisco SmartNet, Python, APIs, ProblemSolving, Analytical Skills, Pressure Management, Deadline Management, Travel Readiness, Flexible Schedule"
https://uk.linkedin.com/jobs/view/facilities-manager-property-consultancy-at-michael-page-3694165723,"Property management, Facilities management, Maintenance, Inspection regimes, Service charge budgets, Health and safety compliance, Approved contractors database, Property inspections, Maintenance schedules, Communication, Organization, External FM contractors"
https://www.linkedin.com/jobs/view/attorney-lawyer-at-robert-half-3802948328,"Business Immigration, PERM process, I140s, I485s, Consular Processing, Legal Drafting, RFE Responses, IMMIGRATION, LAW, EMPLOYMENT, EEO"
https://www.linkedin.com/jobs/view/sales-business-advisor-shreveport-la-at-jti-japan-tobacco-international-3771774881,"FMCG sales, Tobacco industry, Computer proficiency, Microsoft Office, Commercial understanding, Negotiation, Communication, Selling skills, Category management, Analytical skills, Territory data analysis"
https://uk.linkedin.com/jobs/view/veterinary-surgeon-j170513-at-prospect-health-3802683570,"Veterinary Surgery, Royal College of Veterinary Surgeons (RCVS), Communication, Surgical Skills, Diagnostic Skills, Animal Welfare"
https://www.linkedin.com/jobs/view/front-desk-supervisor-at-aimbridge-hospitality-3797408151,"Front Desk Management, Hospitality, Customer Service, Hotel Operations, Front Office Operations, Communication, Problem Solving, Adaptability, Team Leadership, Emergency Procedures, Room Merchandising, Microsoft Office"
https://uk.linkedin.com/jobs/view/damp-and-mould-surveyor-in-manchester-uk-at-energy-jobline-3789943418,"Damp and Mould Surveying, Construction, Property recruitment"
https://www.linkedin.com/jobs/view/emergency-medicine-at-vista-staffing-3807770527,"Emergency Medicine, Locum Tenens, MD Coverage, APP Coverage, ACLS, PALS, ATLS, Meditech, VISTA, Board Certified or Eligible Medical Doctor, US residency, US work visa"
https://www.linkedin.com/jobs/view/assistant-manager-retail-airport-position-located-in-dallas-love-fieldairport-at-hudson-group-3801653156,"Retail, Supervision, Customer service, Cashiering, Stock management, Housekeeping, Theft prevention, Leadership, Time management, Problemsolving, High school diploma"
https://www.linkedin.com/jobs/view/in-house-counsel-jobs-new-york-jdhuntr-53509-manager-business-and-legal-affairs-santa-monica-ca-at-jdhuntr-in-house-counsel-jobs-3788162155,"License Agreements, Copyright Law, Clearance Rights, Master Use Synch Licenses, Compilations"
https://au.linkedin.com/jobs/view/sonographer-perm-or-locum-at-central-queensland-radiology-3804277538,"Sonography, Vascular, Musculoskeletal, Obstetric, General"
https://www.linkedin.com/jobs/view/sales-retail-consultant-at-palm-beach-tan-3739825478,"Customer service, Salon maintenance, Cash handling, Daily administrative paperwork, Flexible availability, High school diploma, Equal opportunity employer"
https://www.linkedin.com/jobs/view/case-manager-registered-nurse-24073390expplat-at-travelnursesource-3797163717,"Case Management, Registered Nurse, Televisits, Early Pay Program, Student Loan Reimbursement"
https://ca.linkedin.com/jobs/view/sales-consultant-at-chartwell-retirement-residences-3804643965,"Consultative sales, Sales process, CRM database, Networking, Multitasking, Communication skills, Computer literacy, Software programs, Flexible hours, Diversity and inclusion, Equal opportunity employer"
https://www.linkedin.com/jobs/view/y-club-youth-development-leader-st-ann-catholic-school-at-ymca-of-greater-kansas-city-3798225361,"Childcare, Crafts, Sports, Teamwork, Communication, Leadership, Public relations, Safety, Discipline, Child abuse reporting, Physical stamina, Alertness, Emotional stability, General computer technology"
https://www.linkedin.com/jobs/view/rn-care-coordinator-case-management-at-yale-new-haven-health-3771787153,"BSN Degree, 35 years clinical experience, Current RN licensure, Strong interpersonal and leadership skills"
https://www.linkedin.com/jobs/view/cardiac-ultrasound-technologist-at-veritas-global-consulting-group-llc-healthcare-executive-engineering-3795121529,"Cardiac Ultrasound, Sonography, Invasive Ultrasound, BLS Certification, ARDMS or CCI Certification, MS Word"
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ultrasound-technologist-at-crossmed-healthcare-3769135971,"Ultrasound Technologist, Allied Health Professional, SonographyEcho, Radiology, 8 hour shifts, 40 hours per week, Travel"
https://www.linkedin.com/jobs/view/accounting-manager-at-stevendouglas-3806359401,"Accounting Operations, NetSuite, Policy Development, Financial Reporting, US GAAP Compliance, General Ledger Management, Monthly Close Oversight, SVP and CFO Support, Accounting Degree, NetSuite Experience, 4+ Years of Experience, Strong Communication Skills"
https://www.linkedin.com/jobs/view/sales-consultant-at-carmax-3805763825,"Sales, Customer service, Retail, Communication skills, Listening skills, Selfmotivation, Customer focus"
https://www.linkedin.com/jobs/view/teacher-elementary-grade-3-long-term-sub-sy23-24-at-trulyhired-3802052510,"DESE, Elementary, SEITeacher Endorsement, Building Principal, Salary, Bachelors, Teaching License, TalentEd, Equal Opportunity Employer"
https://www.linkedin.com/jobs/view/drafting-supervisor-in-east-stroudsburg-pa-usa-at-energy-jobline-3791043558,"3D CAD modeling, 2D CAD drafting, Mechanical Engineering, Electrical Engineering, Drafting and Design Technology"
https://uk.linkedin.com/jobs/view/el-pl-solicitor-litigator-fee-earner-at-michael-page-3712156882,"EL/PL, Solicitor, Litigator, Fee Earner, Personal Injury, Claims, Law"
https://www.linkedin.com/jobs/view/ultrasound-technologist-at-rush-copley-medical-center-3798676571,"Ultrasonography, OB/GYN, Abdominal sonography, Vascular sonography, Multitasking, Organization, Communication, Certification"
https://www.linkedin.com/jobs/view/recycling-yard-manager-in-columbia-tn-usa-at-energy-jobline-3800680234,"Recycling, Heavy equipment operation, Scrap metal recycling"
https://www.linkedin.com/jobs/view/boca-raton-concierge-medicine-at-health-ecareers-3800349712,"Internal medicine, Physician, Healthcare, Patient care, Hospital, Medical, Doctor, Internal care, Internist"
https://www.linkedin.com/jobs/view/parts-manager-at-kenan-advantage-group-3807201034,"Microsoft Word, Microsoft Excel, Class 8 Tractors, Trailers, Technical Documentation, Order Management, Inventory Management, Troubleshooting, Parts Sales, Pricing, Invoicing"
https://www.linkedin.com/jobs/view/technical-writer-at-mainstreamtek-corporation-3802934339,"Technical writing, Markup languages, Word processing, Technical drawings, Communication, Research, Interviews, Handson exploration, Style, Design, Layout, Accuracy, Editorial"
https://www.linkedin.com/jobs/view/sales-consultant-at-k-hovnanian%C2%AE-homes-3802677301,"Sales, Real Estate, Customer Service, Communication, Sales Process, Contracts, Sales Database, Driver's License"
https://uk.linkedin.com/jobs/view/gas-surveyor-assessor-in-durham-uk-at-energy-jobline-3797720849,"Gas Surveying, Property Assessment"
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ultrasound-technologist-at-onestaff-medical-3795303651,"Ultrasound Technologist, Allied Health Professional, Sonographic Scanners, Medical Imaging, Travel"
https://www.linkedin.com/jobs/view/guest-services-leader-at-pilot-company-3799374453,"Retail Operations, Customer Service Skills, Calculator, Computer, Teamwork Communication, Flexible Schedule, Background Check"
https://www.linkedin.com/jobs/view/tax-operations-associate-manager-at-coinbase-3800505862,"DeFi, NFTs, DAOs, Web3, US GAAP, ASC740, Netsuite, OneSource Tax Provision, BEAT, CAMT, GILTI, FDII, R&D Credits, CPA, MST, Crypto"
https://www.linkedin.com/jobs/view/ultrasound-technologist-at-job-juncture-3796962885,"Ultrasound, Radiology Technology, ARRT, ARDMS, Montana Licensed ARRT, Echo, Diagnostic Ultrasound Exams, General Abdominal, Vascular, OB/GYN"
https://www.linkedin.com/jobs/view/senior-associate-attorney-at-bcg-attorney-search-3724425471,"Gaming Law, Senior Associate Attorney, Law Firm, 5 Years of Experience, Electronic Gaming, Bar Admission"
https://www.linkedin.com/jobs/view/virtual-solar-sales-consultant-at-fuerza-ai-3791127438,"Solar Sales, Sales Training, Zoom, WebBased System, Proposal Creation, Installer Liaison, Project Management, Contractor"
https://www.linkedin.com/jobs/view/sales-consultant-part-time-at-carmax-3765596823,"Sales, Customer service, Communication, Relationship building, Negotiation, Organization, Documentation, Financing, Team work, Problemsolving, Selfmotivation, Attention to detail, Adaptability"
https://www.linkedin.com/jobs/view/retail-general-manager-at-pilot-flying-j-3801389254,"Retail Management, Team Leadership, Customer Service, Sales and Profit Objectives, Financial Results, P&L Accountability, Customer Focused Culture"
https://uk.linkedin.com/jobs/view/midday-supervisor-at-derbyshire-county-council-3807704789,"Communication skills, Teamwork, Childcare experience, Supervision, Conflict resolution, Problem solving, Active play, Safety awareness, DBS check"
https://www.linkedin.com/jobs/view/sales-advisor-at-al-serra-auto-plaza-3776019464,"Communication, Customer Service, Experience"
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ultrasound-technologist-at-springboard-health-3770878228,"Ultrasound Technologist, Allied Health Professional, Travel, 13 weeks, 40 hours per week, 8 hour shifts"
https://www.linkedin.com/jobs/view/qsr-lead-representative-full-or-part-time-at-circle-k-3707153225,"Customer service, Team management, Food preparation, Food safety, Cash handling, Inventory control, Communication, Leadership, Integrity, Time management, Problemsolving, Physical fitness, Equal Opportunity Employer, Americans with Disabilities Act"
https://www.linkedin.com/jobs/view/registered-nurse-post-intensive-care-iii-at-rwjbarnabas-health-3702585254,"Registered Nurse, ACLS, BLS, Telemetry, Intermediate care, Ventilator"
https://www.linkedin.com/jobs/view/food-service-leader-at-cumberland-farms-3650277547,"Customer service, Food safety, Food preparation, Food management, Inventory management, Food sanitation, Team management, Communication, Serv Safe certification"
https://uk.linkedin.com/jobs/view/sales-design-consultant-in-hemel-hempstead-uk-at-energy-jobline-3804095735,"Sales, Design, CAD, Communication skills, Customer facing, Sales experience"
https://uk.linkedin.com/jobs/view/showroom-sales-consultant-at-schuelerhilfe-gmbh-3804011448,"Sales, Customer Service, Product Knowledge, Technical Advice, Communication, Organization, Computer Literacy, Maths, Microsoft Office, Email, Active Listening, Problem Solving, Time Management, Negotiation, SelfMotivation, Team Collaboration, Travel"
https://www.linkedin.com/jobs/view/tax-agent-2%2Byrs-paid-tax-experience-required-at-jobs-for-humanity-3805658810,"Tax preparation, Tax laws, Customer service, Video communication, TurboTax, Federal and state individual 1040 tax returns, Intuit TurboTax products, PTIN, CPA, EA, Commercial tax preparation software"
https://www.linkedin.com/jobs/view/tax-operations-associate-manager-at-coinbase-3800512064,"Tax, GAAP, OneSource Tax Provision, BEAT, CAMT, GILTI, FDII, R&D Credits, Transfer pricing, CPA, MST, ASC740, Netsuite, GAAP, SOX"
https://www.linkedin.com/jobs/view/assistant-manager-at-blarney-castle-oil-co-3804432570,"Leadership skills, Communication skills, Great customer service skills, Ability to stand bend and reach, Ability to lift at least 50 lbs, High school diploma or equivalent, One year of related retail experience, Reliable transportation, Valid current auto insurance"
https://uk.linkedin.com/jobs/view/customer-and-trading-manager-nightshift-at-sainsbury-s-3794507753,"Retail Management, Leadership, Planning, Resource Management, Customer Service, Communication, Collaboration, Problem Solving, Decision Making, Organization, Inclusivity, Time Management, Conflict Resolution, Teamwork, Motivation, Inspiration, Employee Development, Diversity and Inclusion, Training and Development, Benefits"
https://www.linkedin.com/jobs/view/arabic-maghrebi-linguist-cat-iii-at-valiant-integrated-services-3645959520,"Arabic  Maghrebi Interpretation, Translation, Transcription, Cultural and Ethnic Context Analysis, Document Exploitation, Research and Analysis of Foreign Language Documents, Medicine, Scientific Interpretation, Engineering Interpretation, Legal Interpretation, Military Information Requirement List Criteria"
https://www.linkedin.com/jobs/view/it-manager-at-honeywell-3806350621,"Computing systems, Project management, Computer science, Solumina, Enovia eMatrix, IBM Doors, Cybersecurity, HS&E requirements, US Dept of Energy “Q” level security clearance"
https://www.linkedin.com/jobs/view/recording-studio-manager-at-jbi-est-as-the-jewish-braille-institute-3781962622,"Audio engineering, Recording sessions, Mixing sessions, Audio equipment maintenance, Studio room maintenance"
https://uk.linkedin.com/jobs/view/assistant-manager-at-greene-king-3750655503,"Leadership, Communication, Teamwork, Customer service, Training and development, Brand standards, Safety, Problemsolving, Attention to detail"
https://www.linkedin.com/jobs/view/solar-sales-consultant-at-peoplemvr-3807202974,"Solar Sales, Roofing Sales, HIS License, Reliable Transportation, Energy Consultant, Solar Sales Rep, Solar Energy Consultant, Solar Sales Manager"
https://www.linkedin.com/jobs/view/dental-receptionist-at-sage-dental-3803057918,"Customer service, Patient checkin/checkout, Appointment scheduling, Insurance verification, Dental software (Dentrix), HMO and PPO insurance, Fastpaced dental office"
https://www.linkedin.com/jobs/view/lead-software-engineer-back-end-at-dice-3805950022,"Back End Software Engineering, Distributed Microservices, Machine Learning Operations (MLOps), Kubernetes, Kubernetes Operator Development, Golang, Python, APIs, SDKs, Cloud Computing (AWS Microsoft Azure Google Cloud), DevOps, Machine Learning"
https://www.linkedin.com/jobs/view/bank-custodian-part-time-2-nights-a-week-at-grbs-inc-3806310181,"Customer service, Dependable, Hard working, Reliable transportation, Vacuuming, Mopping, Dusting, Cleaning restrooms, Removing trash, Flexible start time, Paid Holidays, Daily Pay option, Employee Discounts, Consistent hours, Rapid Advancement"
https://www.linkedin.com/jobs/view/sales-counselor-at-everstory-partners-3802037518,
https://au.linkedin.com/jobs/view/business-development-manager-at-australian-payments-plus-3800654984,"Business Development, Payments, Sales Presentations, Commercial Relationships, Account Plans, GTM Strategy, NPP, Strategic Partnerships, Negotiation, Deal Construction"
https://www.linkedin.com/jobs/view/area-manager-2024-north-california-entry-level-at-amazon-3733796295,"Leadership, Team management, Motivation, Mentoring, Data analysis, Problemsolving, Safety compliance, Quality control, Communication, Physical stamina, Business solutions, Supply chain management, Engineering, Hospitality, Operations"
https://www.linkedin.com/jobs/view/personal-injury-trial-attorney-at-bcg-attorney-search-3618850595,"Personal Injury, Law, Attorney, Philadelphia, New Jersey"
https://au.linkedin.com/jobs/view/senior-property-manager-at-sharonbennie-real-estate-property-recruitment-3804949460,"Property Management, Real Estate, Landlordside duties, Tenantside duties, Property Inspections, Maintenance coordination, Rent reviews, Lease renewals, Tribunal attendance, Certificate of Registration or Real Estate License, Communication skills, Team member, Presentation skills"
https://www.linkedin.com/jobs/view/veterinary-surgeon-at-clickjobs-io-3794883314,"Veterinary Surgeon, Animal Care, Veterinary Medicine, Surgery, Compassion, Communication, Teamwork, Client Service, Patient Care"
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ultrasound-technologist-at-lrs-healthcare-3807791063,"Ultrasound Technologist, Allied Health Professional, Diagnostic, Vascular, OB GYN, Medical Dental and Vision, ShortTerm Disability, LongTerm Disability, Life Insurance, 401(k), Certification & License Reimbursement, Referafriend Bonus Program, Direct Deposit  Weekly, 24Hour Support"
https://mx.linkedin.com/jobs/view/mathematics-teacher-at-oxbridge-international-school-3806875526,"Bachelor's degree, Teaching experience, Differentiated instruction, Collaborative planning, Team teaching, Classroom management, Student assessment, Pastoral care, Line management, Extracurricular activities, International Baccalaureate"
https://ca.linkedin.com/jobs/view/sales-insurance-advisor-at-brokerlink-3777455977,"Customer service, Sales, Analytical thinking, Organizational skills, Communication skills, Microsoft Office Suite, RIBO license (Canadaspecific requirement), Insurance regulations, Underwriting, Insurance products and services, Account receivable management, Postsecondary education, Marketing"
https://uk.linkedin.com/jobs/view/land-acquisition-manager-solar-bess-at-climate17-b-corp%E2%84%A2-3789005957,"Land Acquisition, Solar PV, Battery Storage, Hydrogen Projects, Grid Connection, Planning Policy, Microsoft Suite, Google Earth, Land Searching Tools, Analytical Skills, Problem Solving Skills, Regulatory Compliance, RICS Accredited Degree"
https://www.linkedin.com/jobs/view/commercial-sales-manager-at-autozone-3794573166,"Sales, Customer Service, Account Management, Delivery Management, Inventory Management, Automotive Parts Knowledge, Communication, Leadership, Decision Making, Selling, Physical Strength, Flexible Schedule"
https://www.linkedin.com/jobs/view/ultrasonographer-rad-ultrasonographer-general-ultra-at-cross-country-allied-3805526364,"Ultrasonography, Medical imaging, Radiology, Cardiology, Obstetrics, Emergency medicine, Oncology, BLS Certification, AHA Certification, ARDMS Certification, Current state license"
https://www.linkedin.com/jobs/view/tax-agent-2%2Byrs-paid-tax-experience-required-at-jobs-for-humanity-3805661418,"Intuit TurboTax, Video communication software, 1040 tax returns, Tax laws, Customer service, Tax preparation software, Government websites, Professional resources, Remote work"
https://uk.linkedin.com/jobs/view/assistant-business-manager-at-ribbons-reeves-3792941739,"Accountancy, ACCA/AAT, Finance Software, Financial Management, Financial Systems, Finance, Budgets, Microsoft Word, Microsoft Outlook, Strong ICT skills"
https://www.linkedin.com/jobs/view/respiratory-care-practitioner-per-diem-at-adventist-health-3797797615,"Respiratory Therapist (RT) license, Cardiopulmonary Resuscitation (CPR) certification, Neonatal Resuscitation Program (NRP) certification, Advanced Cardiac Life Support (ACLS) certification, Pediatric Advanced Life Support (PALS) certification, Pediatric Emergency Assessment Recognition and Stabilization (PEARS) certification, State Respiratory Therapist (RCP/RRT) license, Ventilator management, Documentation, Patient education, Equipment maintenance, Bronchoscopy, Vaccinations (measles mumps flu COVID19)"
https://uk.linkedin.com/jobs/view/veterinary-surgeon-j201798-at-prospect-health-3805142268,"Veterinary Surgery, Animal Care, Advanced Surgical Procedures, Diagnostic Support, Preventive Medicine, Emergency Care, Animal Owner Engagement, Communication, Trust Building, Compassionate Service, RCVS Registration, UK Work Permit"
https://uk.linkedin.com/jobs/view/sales-consultant-at-search-3798846386,"Communication skills, Sales experience, B2B sales, Fastpaced environment, Target driven, Sales training, Bonus scheme, Commission pay"
https://www.linkedin.com/jobs/view/powerhouse-supervisor-at-missouri-state-university-3806376840,"Power systems, Water treatment, Steam generation, Building maintenance, Environmental protection, Safety management, Hazardous waste disposal, Energy management, Boiler operation, Supervisory skills, Communication skills, Problemsolving skills, Mathematical ability, Blueprint reading, Physical fitness, Stationary Engineer license, Driver's license"
https://www.linkedin.com/jobs/view/pediatric-home-health-rn-lpn-in-liberty-mo-at-craig-homecare-a-phs-company-3805670681,"pediatric nursing, trach, ventilator, gtube, flexible scheduling, medical insurance, dental insurance, vision insurance, 401K matching, PTO, referral bonus, Facebook, Instagram"
